Series Code,Topic,Dataset,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Reference period,Aggregation method,Limitations and exceptions,General comments,Source,Statistical concept and methodology,Development relevance
WP11623_4.1,2011 Variables,Global Findex,Account at a financial institution (% age 15+) [w1],"Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.3,2011 Variables,Global Findex,"Account at a financial institution, female (% age 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.8,2011 Variables,Global Findex,"Account at a financial institution, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.9,2011 Variables,Global Findex,"Account at a financial institution, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.2,2011 Variables,Global Findex,"Account at a financial institution, male (% age 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.5,2011 Variables,Global Findex,"Account at a financial institution, older adults (% ages 25+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 25+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 25+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.6,2011 Variables,Global Findex,"Account at a financial institution, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.10,2011 Variables,Global Findex,"Account at a financial institution, rural (% age 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.7,2011 Variables,Global Findex,"Account at a financial institution, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11623_4.4,2011 Variables,Global Findex,"Account at a financial institution, young adults (% ages 15-24) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% ages 15-24). [w1: data are available for wave 1].","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% ages 15-24). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.1,2011 Variables,Global Findex,Borrowed from a financial institution (% age 15+) [w1],"Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.3,2011 Variables,Global Findex,"Borrowed from a financial institution, female (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.8,2011 Variables,Global Findex,"Borrowed from a financial institution, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.9,2011 Variables,Global Findex,"Borrowed from a financial institution, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.2,2011 Variables,Global Findex,"Borrowed from a financial institution, male (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.5,2011 Variables,Global Findex,"Borrowed from a financial institution, older adults (% ages 25+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 25+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 25+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.6,2011 Variables,Global Findex,"Borrowed from a financial institution, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.10,2011 Variables,Global Findex,"Borrowed from a financial institution, rural (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.7,2011 Variables,Global Findex,"Borrowed from a financial institution, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11651.4,2011 Variables,Global Findex,"Borrowed from a financial institution, young adults (% ages 15-24) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% ages 15-24). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% ages 15-24). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.1,2011 Variables,Global Findex,Borrowed from a private informal lender (% age 15+) [w1],Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (% age 15+). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (% age 15+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.3,2011 Variables,Global Findex,"Borrowed from a private informal lender, female (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.8,2011 Variables,Global Findex,"Borrowed from a private informal lender, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.9,2011 Variables,Global Findex,"Borrowed from a private informal lender, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
